#Digilent WaveForms Oscilloscope Acquisition,,,,,
#Device Name: Discovery2,,,,,
#Serial Number: SN:210321AFD7CC,,,,,
#Date Time: 2020-09-24 15:58:33.471,,,,,
#Sample rate: 54615Hz,,,,,
#Samples: 8192,,,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 900 mV Hyst.: Auto HoldOff: 0 s,,,,,
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 10 X,,,,,
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 10 X,,,,,
#Wavegen Channel 1: Running,,,,,
#Mode: Simple,,,,,
#Type: Pulse,,,,,
#Frequency: 1 Hz,,,,,
#Period: 1 s,,,,,
#Amplitude: 2.5 V,,,,,
#Offset: 0 V,,,,,
#Symmetry: 0.4 %,,,,,
#Phase: 0 °,,,,,
,,,,,
Time (s),Channel 1 (V),Channel 2 (V),,,
-0.073647352,-0.004771093,0.001619309,0.001179108,-0.703995039,9.559
-0.073629042,-0.004771093,0.001619309,0.001179108,-0.703304611,9.552
-0.073610732,-0.004771093,0.001619309,0.001179108,-0.702614439,9.545
-0.073592422,-0.008089353,0.004971471,0.003620001,-0.701924523,9.538
-0.073574112,-0.004771093,0.001619309,0.001179108,-0.701234863,9.531
-0.073555802,-0.004771093,0.004971471,0.003620001,-0.70054546,9.524
-0.073537492,-0.004771093,0.001619309,0.001179108,-0.699856313,9.517
-0.073519182,-0.008089353,0.001619309,0.001179108,-0.699167423,9.51
-0.073500872,-0.004771093,0.004971471,0.003620001,-0.698478788,9.503
-0.073482562,-0.008089353,0.001619309,0.001179108,-0.69779041,9.496
-0.073464252,-0.004771093,0.004971471,0.003620001,-0.697102289,9.489
-0.073445942,-0.004771093,0.004971471,0.003620001,-0.696414424,9.482
-0.073427632,-0.004771093,0.004971471,0.003620001,-0.695726815,9.475
-0.073409322,-0.004771093,0.001619309,0.001179108,-0.695039462,9.468
-0.073391012,-0.001452832,0.001619309,0.001179108,-0.694352366,9.461
-0.073372702,-0.004771093,0.004971471,0.003620001,-0.693665526,9.454
-0.073354392,-0.004771093,0.001619309,0.001179108,-0.692978943,9.447
-0.073336082,-0.004771093,0.004971471,0.003620001,-0.692292616,9.44
-0.073317772,-0.004771093,0.001619309,0.001179108,-0.691606545,9.433
