#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321AFD7CC
#Date Time: 2020-11-19 16:36:31.625
#Start: 1 Hz
#Stop: 2e+06 Hz
#Steps: 201
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 54.3664 V
#Offset: 0.00145283 V
#Relative: no
#Channel: Channel 2
#Range: 54.9218 V
#Offset: 0.00173285 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1.000000000000002,0.09327830336710871,-0.07047118768653106,-5.981470225021496
1.07523935078847,0.09429712941558682,-0.07864754572464584,-6.414401311987476
1.156139661484011,0.09394494551175588,-0.08921106619224811,-6.884561496564871
1.243126859034867,0.0918938550097281,-0.09570678978567598,-7.401169879593752
1.336658916856357,0.09270867850168478,-0.1086299982596397,-7.942735484334335
1.437228265986249,0.09163479149852355,-0.120949540482083,-8.536914276441244
1.54536438765389,0.092837940209157,-0.137726811739027,-9.15704128854054
1.661636600912587,0.09333227078540814,-0.1554067297294802,-9.837228231181243
1.786657060011607,0.09112243374770561,-0.1739862153385328,-10.55605979638681
1.921083977288517,0.09287066192275228,-0.1985686936914578,-11.32261767705921
2.065625088549833,0.09232624304447364,-0.2256778099399427,-12.14584769026863
2.221041379184694,0.09107239426425368,-0.2558522704922754,-13.02143292163913
2.388151090628878,0.08951987264869747,-0.2892862163957119,-13.95956747067233
2.567834028272562,0.09075194608695727,-0.3307528980212396,-14.9539026667159
2.761036193492331,0.08761165825562955,-0.3745177468319342,-16.01483394761178
2.968774764194157,0.08695442143420927,-0.4270710837252281,-17.15260793722342
3.192143450089312,0.08673011661663456,-0.4867490324484325,-18.35188763701353
3.432318250897692,0.08390472780150174,-0.5531160322452818,-19.61456187497762
3.690563647794652,0.083145895617234,-0.6302878074353313,-20.96551479569303
3.968239260698241,0.08222455618299326,-0.7170836494475106,-22.39033992798206
4.266807006446488,0.08113731189687143,-0.8167973440130119,-23.86650615988779
4.587838795551217,0.07846340264261432,-0.9274370887166541,-25.43089812525752
4.933024808050637,0.07730205209065985,-1.052827196206788,-27.08550028604158
5.304182392031773,0.07400142068681502,-1.192189259531219,-28.77198740114966
5.703265631671878,0.07351278549358484,-1.34998449226651,-30.54928243542514
6.132375635173052,0.0689514889571422,-1.519043946465341,-32.39276011555943
6.593771596754491,0.06644797536371568,-1.712570250306545,-34.29173366737402
7.089882690941738,0.06343135299963726,-1.925990586085619,-36.24495663844798
7.623320861774606,0.0621221715796636,-2.156753575118994,-38.2228410128445
8.196894574266711,0.05843428190805304,-2.40865045961691,-40.2367991654468
8.813623600516053,0.05395782842015882,-2.680996685208438,-42.28544593249903
9.476754918312821,0.0513778679202774,-2.979874754058769,-44.33796122530483
10.1897798059481,0.04951261826241163,-3.300524064013289,-46.39904751193449
10.95645222322507,0.04689620581590358,-3.641613557160728,-48.43916086550951
11.78080857544542,0.04304282980002627,-4.006306449862859,-50.47123704718884
12.66718896442515,0.04032477283252901,-4.389928439276842,-52.487774780036
13.62026003842331,0.03629809436625894,-4.795961836060674,-54.4299449644102
14.64503956128445,0.03446987042780409,-5.221894425460399,-56.34331200233521
15.74692283014689,0.03038742649077142,-5.665741816409843,-58.21811059945308
16.93171108080329,0.02941443944684964,-6.131590203782634,-60.02682898950187
18.20564203026083,0.0262370493833244,-6.615395169194757,-61.74608435478408
19.5754227173049,0.02527239949376614,-7.115842983686194,-63.43506887534626
21.04826481396475,0.02402792306572804,-7.630605118935345,-65.03916323560043
22.63192259379126,0.02104900241935841,-8.154016744603933,-66.54580600770291
24.33473375684297,0.01904825552936155,-8.691178139292411,-68.0269400085284
26.16566332631805,0.01887737524410556,-9.230109347950442,-69.37183785035724
28.1343508479399,0.01732006645591285,-9.782618203898066,-70.68516643663297
30.25116114059388,0.01529332781862954,-10.34135923964415,-71.94855810388263
32.52723886540949,0.01424574876403202,-10.91215348456031,-73.10688224906221
34.97456720058433,0.0134912700688447,-11.49054209687958,-74.15093508556095
37.60603093086402,0.01185128252307572,-12.08675713996966,-75.19529390895003
40.43548428383326,0.01184559206277117,-12.68001032329234,-76.17972316429505
43.47782387016618,0.01101043999183843,-13.28763906661221,-77.02474911542396
46.74906711185293,0.01101177557561493,-13.89152056940859,-77.95123582816325
50.26643657131526,0.008301185341716913,-14.4876682673255,-78.72308803619418
54.04845062539072,0.009503995094940314,-15.14131210197359,-79.38618547848937
58.1150209615678,-0.001396497560762523,-15.71185795185318,-80.52820491225445
62.48755740977424,-0.002543146183073529,-16.34321857917771,-81.09377481865712
67.1890806616429,0.01140108963509688,-16.96542399914224,-81.18718627029085
72.24434347069894,0.00567062316026156,-17.49627157094199,-81.93382179542151
77.67996097157356,0.005809904439618568,-18.14356298215752,-82.35735590196342
83.52455080434811,0.00347459980413444,-18.73848138474045,-82.94937079011649
89.80888378176586,0.004252122824436076,-19.34370230070753,-83.36337891568209
96.56604589254289,0.000210186837915586,-19.9677222931794,-83.88102591630545
103.8316124937074,0.00156458104874887,-20.57809134079582,-84.19303287958826
111.6438356090538,8.253640133608735e-05,-21.17887223204503,-84.54000850512881
120.0438453198136,-0.0007486668322060513,-21.78690899900359,-84.95319357221619
129.0758663078274,-0.001537069142451227,-22.42033844333655,-85.10445959143588
138.7874506912877,-0.007181583043671527,-23.07506076698146,-85.5691312457427
149.2297283788867,-0.006066483423461239,-23.66413759934499,-85.68390179327957
