#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321AFD7CC
#Date Time: 2020-11-20 19:58:36.640
#Start: 0.1 Hz
#Stop: 1e+06 Hz
#Steps: 501
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 54.3664 V
#Offset: 0.00145283 V
#Relative: no
#Channel: Channel 2
#Range: 54.9218 V
#Offset: 0.00173285 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
0.1,0.09065598469523657,-0.01559240666282224,-0.0170096140623599
0.1032761405761398,0.08972232528315792,-0.01588812439379847,-0.02832890193755588
0.1066596121230259,0.08925875692789324,-0.01426487925778576,-0.01192144671793471
0.1101539309541415,0.08859735097610554,-0.0145671718453853,-0.03078042755886656
0.1137627285823431,0.08959456913045261,-0.01496532083923019,-0.02242365598900165
0.117489755493953,0.08871227715931478,-0.01414234628839188,-0.0159842423873755
0.1213388850464976,0.08966729199173118,-0.01542809282139344,-0.03198185662955666
0.1253141174941416,0.08764207393774265,-0.01398264930067596,-0.02267591595133922
0.1294195841449986,0.0894863471452714,-0.01512286967036414,-0.02356038647610603
0.1336595516546443,0.08900202267961572,-0.01444443011226314,-0.02872346671227177
0.1380384264602887,0.09008375370724889,-0.01579032495563122,-0.03393656086218044
0.1425607593602188,0.08959530534599663,-0.01535526965713449,-0.02106953940687362
0.147231250243272,0.08975061830007097,-0.01532010268873551,-0.02046045530850904
0.1520547529732497,0.09024716290807025,-0.01547912276238097,-0.01923374907259756
0.1570362804333552,0.08786685420100609,-0.01403508278690867,-0.02519005046193001
0.162181009735893,0.09087615445013707,-0.01757589694760223,-0.03287870294100514
0.1674942876026438,0.08772405019618565,-0.01319920453978983,-0.04101353239636296
0.1729816359215104,0.09056996859236405,-0.01567696224762214,-0.02824341489929338
0.1786487574852054,0.08945338779740752,-0.01501927484248333,-0.03233086487433923
0.1845015419179474,0.08978955821278183,-0.01600107842132037,-0.04281503684548937
0.1905460717963249,0.0888413559687137,-0.01415708424970641,-0.03359048977272039
0.1967886289706847,0.09067282125646564,-0.0158317373359735,-0.01852914109517201
0.2032357010936221,0.09012490420559671,-0.01600864981991392,-0.03777860782348341
0.2098939883623525,0.08744123426909026,-0.01234569101360523,-0.02906825034665417
0.2167704104819696,0.08834334659286422,-0.01393276070022937,-0.03562336859246784
0.2238721138568343,0.090169073644129,-0.01453449608888062,-0.04381194072689709
0.2312064790175599,0.08996553327240268,-0.01527748371326682,-0.02700618012627842
0.2387811282913178,0.09002627049551917,-0.01481342052414941,-0.03706375034197151
0.2466039337234342,0.08970694024933015,-0.014250234258064,-0.0387629481097207
0.2546830252585045,0.08753710190913673,-0.01298534123328414,-0.06380183060616673
0.2630267991895382,0.08999209583238986,-0.01556440040683342,-0.05721810023840135
0.2716439268839084,0.08964510385399929,-0.01540334477501698,-0.05246737556005598
0.2805433637951716,0.09075999806998207,-0.01571104087714258,-0.0466270641506128
0.2897343587701328,0.09054815999270287,-0.01546276030880378,-0.05860514879766754
0.2992264636608196,0.08832793145254868,-0.01444919328073226,-0.06261569679296031
0.3090295432513592,0.09041813780032117,-0.01477415160364106,-0.06482927430053564
0.3191537855100759,0.09015278078941158,-0.01545212918086395,-0.04828634747605065
0.3296097121774577,0.08891745800054564,-0.014636014371119,-0.06162458394203441
0.340408189701001,0.09068200706413629,-0.01646169755441354,-0.07795873495578576
0.3515604405282977,0.09122231201842362,-0.01707133917190971,-0.06720853881466837
0.363078054770101,0.09100259908303901,-0.01767377335761799,-0.05883421022414836
0.3749730022454835,0.09050458881750223,-0.01508088045140822,-0.08652851123218852
0.3872576449216173,0.09050018572413215,-0.01532583132463417,-0.06914446129312068
0.399944749761097,0.08923091786843049,-0.01365787041815728,-0.07287270953093916
0.413047501990161,0.08924440786879945,-0.01493891732280051,-0.08625932832710248
0.4265795188015926,0.09059351453770076,-0.01619527154259227,-0.08460542660082382
0.4405548635065535,0.09071770817284469,-0.01550586601283526,-0.08213769365641355
0.4549880601500481,0.09192608859480754,-0.0178584867485404,-0.08997280997810009
0.4698941086052152,0.09037575670189529,-0.01597478994416272,-0.07926086964186396
0.4852885001621211,0.08992681424470803,-0.01470796510207218,-0.09184014193978385
0.5011872336272726,0.09117006049426836,-0.01543781637273472,-0.08861958821517391
0.5176068319505671,0.09197195557701586,-0.01687958796263507,-0.0909454166504915
0.5345643593969714,0.08993539166216787,-0.01556180530697364,-0.1025596461634279
0.5520774392807574,0.08951699506202984,-0.01562304854418361,-0.1048396502220896
0.5701642722807478,0.09001197011335232,-0.01557307995595895,-0.1002388330635142
0.5888436553555885,0.09046682537341741,-0.01642005221016839,-0.1208737937481175
0.6081350012787177,0.09155857883154989,-0.01613986694390975,-0.1207714118023233
0.6280583588133181,0.09061764184801532,-0.01637200534512431,-0.1085745206931108
0.6486344335482389,0.09032931106840997,-0.01504578446763143,-0.1239565023378759
0.6698846094165258,0.090869072502824,-0.01525924809570271,-0.1212676018679417
0.6918309709189364,0.0893868462481171,-0.01401759820633675,-0.1318156042425471
0.7144963260755136,0.08990594639657973,-0.01457821156934626,-0.1244854983603148
0.7379042301291017,0.08986043932225868,-0.01523242389943517,-0.1525028745310237
0.7620790100254116,0.09083491509824891,-0.01568118864194801,-0.1254932989804161
0.7870457896950985,0.08993203913435237,-0.01540404392862307,-0.149423209746999
0.8128305161640996,0.09065382049991755,-0.01639185984468642,-0.1613808930970606
0.8394599865193982,0.09047347343034581,-0.01569577250895333,-0.1577349663749317
0.8669618757582161,0.08895802258680154,-0.01384879266616792,-0.1609825003039873
0.8953647655495939,0.09066061389418995,-0.01702110340778347,-0.1753565164700177
0.9246981739382231,0.09130401123229043,-0.01740374504500147,-0.1674544894128189
0.954992586021437,0.08936970998222499,-0.01439737621333693,-0.175747231561445
0.9862794856312102,0.09012485673154011,-0.01672171535655691,-0.176954118984483
1.018591388054117,0.09082734151961172,-0.01671667070153326,-0.1859203283494963
1.051961873823223,0.08845963745974225,-0.01476997657531995,-0.1966427573027474
1.086425623617067,0.09138842076219836,-0.01571907712206145,-0.2079990118912178
1.122018454301963,0.09108074706817151,-0.01815897975695936,-0.2025763617941507
1.158777356155126,0.08999940379315784,-0.01533690376807797,-0.2002086546559418
1.196740531307245,0.09026667469494809,-0.0161341465827404,-0.2271381818156346
1.235947433444512,0.0893099799883767,-0.01614145057284302,-0.2256611881602666
1.276438808811344,0.08948827487102523,-0.01581016066037175,-0.2330089084230273
1.318256738556407,0.09094495869164006,-0.0183898651857038,-0.2462246568440065
1.361444682465951,0.09225228880754488,-0.01934234647886977,-0.2564292176093375
1.406047524129916,0.09095465248884523,-0.01701657768201656,-0.2609283469179644
1.452111617587742,0.08962460837294474,-0.01557008068790486,-0.2699178396821083
1.499684835502374,0.08864481814887458,-0.01491615116661792,-0.2806757632160384
1.548816618912483,0.0895049847976539,-0.01602515310237544,-0.2864127479791136
1.599558028614668,0.08871454431595317,-0.01571005201416769,-0.2911558503278115
1.651961798229015,0.09011961614718519,-0.01635830478610185,-0.3050060878056229
1.706082389003121,0.08944217933677365,-0.01650943806491322,-0.311319565038616
1.761976046411628,0.09011338805623582,-0.01665362689204978,-0.3303082999132982
1.819700858609983,0.0898797152770108,-0.01691369265754613,-0.3314833630321345
1.879316816803265,0.08993175256252309,-0.01627930390538332,-0.3494760232153169
1.940885877592776,0.09071471583080337,-0.01727685139312847,-0.3630839353508435
2.004472027365159,0.09127716356982796,-0.01734293939705809,-0.3722036143044463
2.070141348791042,0.09075356988532191,-0.01818784989200426,-0.3759865213087661
2.137962089502233,0.09108946174062556,-0.01660785677802238,-0.3938276592378158
2.208004733018897,0.09003160844077462,-0.01744119546763807,-0.4072993755577343
2.280342072000416,0.08998826347595996,-0.01645561934932601,-0.4287102120372879
2.355049283896009,0.09029479700025349,-0.01763292714679949,-0.4327575197286251
2.432204009073812,0.09117496620614249,-0.01581807343983776,-0.4578472694130085
2.511886431509577,0.09001280069751369,-0.0179767042274084,-0.4771078825203006
2.594179362118813,0.08977325898521726,-0.01590843511018768,-0.4808405732056826
2.679168324819031,0.08945845934147803,-0.01752700742383689,-0.493198275602424
2.766941645411513,0.0906706620187414,-0.01712730712685631,-0.5129446501262862
2.857590543374944,0.09017427684453957,-0.01628694711342575,-0.5353526972063065
2.951209226666384,0.09229666658563737,-0.01892031457671961,-0.5565192211169006
3.047894989627983,0.09016397480370542,-0.01629060503062911,-0.5583322585123227
3.147748314101311,0.08948546147173518,-0.01712068687234796,-0.5869166636103174
3.250872973854341,0.09155707543520097,-0.01797103822865279,-0.6098695137130399
3.357376142429545,0.0892427321757393,-0.01478628369379663,-0.5965655106251759
3.467368504525317,0.09040392807105822,-0.01731580873265542,-0.6551970855931302
3.580964371026363,0.09033830798498768,-0.01721099170337274,-0.652034296053742
3.698281797802659,0.08836564852109655,-0.01600088824442341,-0.6763860842980307
3.819442708400465,0.09074355838574505,-0.017841747362365,-0.708916431366589
3.944573020752785,0.09081389509875269,-0.01796863723378365,-0.7296118386552735
4.073802778041123,0.09100030054652139,-0.01854738203643176,-0.7496458446219378
4.207266283844438,0.09006189606121787,-0.0179155870558917,-0.7856164893646991
4.345102241715715,0.0896571405634751,-0.01733764382568563,-0.7963551270359801
4.487453899331324,0.09097937278903719,-0.01940323242841828,-0.8331282901303041
4.634469197362885,0.0893338713811568,-0.01747791573626954,-0.8636880437482368
4.78630092322638,0.09071546288547906,-0.01801865014096286,-0.8884112877953569
4.943106869868354,0.09034476669080119,-0.01771811418297258,-0.9117212808222348
5.105049999754065,0.08937817943045184,-0.01832855982995276,-0.9433074703030115
5.272298614228222,0.09042036122175703,-0.01959003394118431,-0.9640270609698689
5.445026528424209,0.0908688625033712,-0.01968922061349429,-1.008687074800406
5.623413251903492,0.09057831223416199,-0.01999456889191067,-1.031910270033801
5.807644175213125,0.08983338319262997,-0.01815941739131257,-1.0817880312031
5.997910762555101,0.09246987740397999,-0.02101859796973635,-1.101021335223038
6.194410750767812,0.08994327400229303,-0.0191168598265455,-1.138085860946092
6.397348354826483,0.09050013711747543,-0.01985360075163246,-1.183097040705036
6.606934480075966,0.09046002808453632,-0.02084964035363485,-1.225217943160743
6.823386941416691,0.09046621367116911,-0.02022923287180876,-1.25294945503828
7.046930689671468,0.09070423184646106,-0.02091439373334059,-1.302442716564741
7.277798045368243,0.08973976337777168,-0.01997003504269411,-1.337410335336358
7.516228940182062,0.08965323919070198,-0.02068865618496996,-1.393627766791496
7.762471166286929,0.09041311673657641,-0.02101467304929317,-1.433466589993458
8.01678063387679,0.08883773336858267,-0.01906591039226135,-1.469654372829321
8.279421637123345,0.08960077139147656,-0.02019760123981838,-1.517044146210111
8.550667128846841,0.09023019052393609,-0.02138200393498069,-1.576192382581169
8.830799004185623,0.09083258578639047,-0.02236999346809309,-1.620616831625398
9.120108393559098,0.08913355511968471,-0.02156567970083632,-1.681362864765845
9.418895965228419,0.0893749782301754,-0.0227144868911996,-1.742938987859798
9.727472237769662,0.08883977661065386,-0.02133118364104675,-1.787261164417188
10.04615790278397,0.09075743246480508,-0.02499104513322578,-1.850336427659954
10.37528415818013,0.09033262943269031,-0.02444343387728926,-1.910234794634803
10.71519305237607,0.08942110953062009,-0.02274782946835741,-1.974349192221609
11.06623783977668,0.09042267854250596,-0.02348090092834609,-2.0244169245953
11.42878334789771,0.09016419760767302,-0.02558270873406682,-2.095735963696967
11.8032063565173,0.08913443636668272,-0.02634414070327188,-2.169145568620266
12.18989598924868,0.09089249095504416,-0.02677466742544576,-2.238200181502606
12.58925411794169,0.09014832518724186,-0.02661797752967217,-2.314976173928258
13.00169578033293,0.09039836188459974,-0.02716087037358609,-2.389056974315242
13.42764961137864,0.09025962860711376,-0.02890375885704097,-2.467824970318446
13.8675582887189,0.08953938176094704,-0.02764796281978735,-2.542400197506566
14.32187899273546,0.0887832257900438,-0.02779072893236285,-2.634838172897446
14.79108388168207,0.08916537647365615,-0.02841297862882617,-2.722844154944852
15.27566058238073,0.08870308045202935,-0.0298486367522163,-2.816315916678846
15.7761126969935,0.09024997220629388,-0.03143077030092495,-2.88808213850546
16.29296032639725,0.08910619316769777,-0.03132914579342992,-2.980078869004672
