#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AF1F70
#Date Time: 2020-09-24 15:58:49.790
#Sample rate: 8000Hz
#Samples: 8000
#Trigger: Source: Channel 1 Type: Edge Condition: Falling Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 10 X
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 10 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Pulse
#Frequency: 1 Hz
#Period: 1 s
#Amplitude: 5 V
#Offset: 0 V
#Symmetry: 0.2 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
0.38,-0.0113225366087768,-0.01096326434272859
0.380125,-0.0113225366087768,-0.01096326434272859
0.38025,-0.0113225366087768,-0.01096326434272859
0.380375,-0.0113225366087768,-0.01096326434272859
0.3805,-0.0113225366087768,-0.01096326434272859
0.380625,-0.0113225366087768,-0.01096326434272859
0.38075,-0.0113225366087768,-0.007625443479211999
0.380875,-0.0113225366087768,-0.01096326434272859
0.381,-0.0113225366087768,-0.007625443479211999
0.381125,-0.0113225366087768,-0.01096326434272859
0.38125,-0.0113225366087768,-0.01096326434272859
0.381375,-0.0113225366087768,-0.01096326434272859
0.3815,-0.0113225366087768,-0.01096326434272859
0.381625,-0.0113225366087768,-0.007625443479211999
0.38175,-0.0113225366087768,-0.01096326434272859
0.381875,-0.0113225366087768,-0.01096326434272859
0.382,-0.0113225366087768,-0.01096326434272859
0.382125,-0.0113225366087768,-0.01096326434272859
0.38225,-0.01465408196997853,-0.01096326434272859
0.382375,-0.0113225366087768,-0.01096326434272859
0.3825,-0.0113225366087768,-0.01096326434272859
0.382625,-0.0113225366087768,-0.007625443479211999
0.38275,-0.0113225366087768,-0.01096326434272859
0.382875,-0.0113225366087768,-0.01096326434272859
0.383,-0.01465408196997853,-0.01096326434272859
0.383125,-0.0113225366087768,-0.01096326434272859
0.38325,-0.0113225366087768,-0.01096326434272859
0.383375,-0.01465408196997853,-0.01096326434272859
0.3835,-0.0113225366087768,-0.01096326434272859
0.383625,-0.01465408196997853,-0.01096326434272859
0.38375,-0.01465408196997853,-0.01096326434272859
0.383875,-0.01465408196997853,-0.01096326434272859
0.384,-0.0113225366087768,-0.01096326434272859
0.384125,-0.01465408196997853,-0.01096326434272859
0.38425,-0.0113225366087768,-0.01096326434272859
0.384375,-0.0113225366087768,-0.01096326434272859
0.3845,-0.01465408196997853,-0.01096326434272859
0.384625,-0.0113225366087768,-0.01096326434272859
0.38475,-0.01465408196997853,-0.01096326434272859
0.384875,-0.01465408196997853,-0.01096326434272859
0.385,-0.01465408196997853,-0.01430108520624517
0.385125,-0.01465408196997853,-0.01430108520624517
0.38525,-0.01465408196997853,-0.01430108520624517
0.385375,-0.0113225366087768,-0.01096326434272859
0.3855,-0.01465408196997853,-0.01096326434272859
0.385625,-0.01465408196997853,-0.01430108520624517
0.38575,-0.01465408196997853,-0.01430108520624517
0.385875,-0.01465408196997853,-0.01430108520624517
0.386,-0.01465408196997853,-0.01096326434272859
0.386125,-0.01465408196997853,-0.01096326434272859
0.38625,-0.01465408196997853,-0.01430108520624517
0.386375,-0.01465408196997853,-0.01096326434272859
0.3865,-0.01465408196997853,-0.01430108520624517
0.386625,-0.01465408196997853,-0.01430108520624517
0.38675,-0.01465408196997853,-0.01096326434272859
0.386875,-0.01465408196997853,-0.01430108520624517
0.387,-0.01465408196997853,-0.01430108520624517
0.387125,-0.01465408196997853,-0.01430108520624517
0.38725,-0.01465408196997853,-0.01430108520624517
0.387375,-0.01465408196997853,-0.01430108520624517
0.3875,-0.01465408196997853,-0.01430108520624517
0.387625,-0.01465408196997853,-0.01430108520624517
0.38775,-0.01465408196997853,-0.01430108520624517
0.387875,-0.01465408196997853,-0.01430108520624517
0.388,-0.01465408196997853,-0.01430108520624517
0.388125,-0.01465408196997853,-0.01430108520624517
0.38825,-0.01465408196997853,-0.01430108520624517
0.388375,-0.01465408196997853,-0.01430108520624517
0.3885,-0.01465408196997853,-0.01430108520624517
0.388625,-0.01465408196997853,-0.01430108520624517
0.38875,-0.01465408196997853,-0.01430108520624517
0.388875,-0.01465408196997853,-0.01430108520624517
0.389,-0.01465408196997853,-0.01430108520624517
0.389125,-0.01465408196997853,-0.01430108520624517
0.38925,-0.01465408196997853,-0.01430108520624517
0.389375,-0.01465408196997853,-0.01430108520624517
0.3895,-0.01465408196997853,-0.01430108520624517
0.389625,-0.01465408196997853,-0.01430108520624517
0.38975,-0.0179856273311807,-0.01430108520624517
0.389875,-0.01465408196997853,-0.01430108520624517
0.39,-0.01465408196997853,-0.01430108520624517
0.390125,-0.01465408196997853,-0.01430108520624517
0.39025,-0.01465408196997853,-0.01430108520624517
0.390375,-0.01465408196997853,-0.01430108520624517
0.3905,-0.01465408196997853,-0.01430108520624517
0.390625,-0.01465408196997853,-0.01430108520624517
0.39075,-0.01465408196997853,-0.01430108520624517
0.390875,-0.01465408196997853,-0.01430108520624517
0.391,-0.01465408196997853,-0.01096326434272859
0.391125,-0.01465408196997853,-0.01430108520624517
0.39125,-0.01465408196997853,-0.01430108520624517
0.391375,-0.01465408196997853,-0.01430108520624517
0.3915,-0.01465408196997853,-0.01096326434272859
0.391625,-0.01465408196997853,-0.01096326434272859
0.39175,-0.01465408196997853,-0.01096326434272859
0.391875,-0.01465408196997853,-0.01096326434272859
0.392,-0.0113225366087768,-0.01096326434272859
0.392125,-0.01465408196997853,-0.01096326434272859
