#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AF1F70
#Date Time: 2020-09-24 15:51:48.725
#Sample rate: 8000Hz
#Samples: 8000
#Trigger: Source: Channel 1 Type: Edge Condition: Falling Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 10 X
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 10 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Pulse
#Frequency: 1 Hz
#Period: 1 s
#Amplitude: 625 mV
#Offset: 0 V
#Symmetry: 1.6 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.375,-0.007060345628319592,-0.01096326434272859
-0.374875,-0.007060345628319592,-0.01096326434272859
-0.37475,-0.007060345628319592,-0.01096326434272859
-0.374625,-0.007060345628319592,-0.01096326434272859
-0.3745,-0.007060345628319592,-0.01096326434272859
-0.374375,-0.007060345628319592,-0.007625443479211999
-0.37425,-0.007060345628319592,-0.01096326434272859
-0.374125,-0.01039189098952142,-0.01096326434272859
-0.374,-0.01039189098952142,-0.01096326434272859
-0.373875,-0.007060345628319592,-0.01096326434272859
-0.37375,-0.01039189098952142,-0.01096326434272859
-0.373625,-0.01039189098952142,-0.01096326434272859
-0.3735,-0.007060345628319592,-0.01096326434272859
-0.373375,-0.007060345628319592,-0.01096326434272859
-0.37325,-0.01039189098952142,-0.007625443479211999
-0.373125,-0.01039189098952142,-0.01096326434272859
-0.373,-0.01039189098952142,-0.01096326434272859
-0.372875,-0.01039189098952142,-0.01096326434272859
-0.37275,-0.01039189098952142,-0.01096326434272859
-0.372625,-0.01039189098952142,-0.01096326434272859
-0.3725,-0.01039189098952142,-0.01096326434272859
-0.372375,-0.01039189098952142,-0.01096326434272859
-0.37225,-0.01039189098952142,-0.01096326434272859
-0.372125,-0.01039189098952142,-0.01096326434272859
-0.372,-0.01039189098952142,-0.01096326434272859
-0.371875,-0.01039189098952142,-0.01096326434272859
-0.37175,-0.01039189098952142,-0.01096326434272859
-0.371625,-0.01039189098952142,-0.01096326434272859
-0.3715,-0.01039189098952142,-0.01096326434272859
-0.371375,-0.01039189098952142,-0.01096326434272859
-0.37125,-0.01039189098952142,-0.01096326434272859
-0.371125,-0.01039189098952142,-0.01096326434272859
-0.371,-0.01039189098952142,-0.01096326434272859
-0.370875,-0.01039189098952142,-0.01096326434272859
-0.37075,-0.01039189098952142,-0.01096326434272859
-0.370625,-0.01039189098952142,-0.01096326434272859
-0.3705,-0.01039189098952142,-0.01096326434272859
-0.370375,-0.01039189098952142,-0.01096326434272859
-0.37025,-0.01039189098952142,-0.01096326434272859
-0.370125,-0.01039189098952142,-0.01096326434272859
-0.37,-0.01039189098952142,-0.01096326434272859
-0.369875,-0.01039189098952142,-0.01096326434272859
-0.36975,-0.01039189098952142,-0.01096326434272859
-0.369625,-0.01039189098952142,-0.01096326434272859
-0.3695,-0.01039189098952142,-0.01096326434272859
-0.369375,-0.01039189098952142,-0.01096326434272859
-0.36925,-0.01039189098952142,-0.01096326434272859
-0.369125,-0.01039189098952142,-0.01096326434272859
-0.369,-0.01039189098952142,-0.01096326434272859
-0.368875,-0.01039189098952142,-0.01096326434272859
-0.36875,-0.01039189098952142,-0.01430108520624517
-0.368625,-0.01039189098952142,-0.01430108520624517
-0.3685,-0.01039189098952142,-0.01430108520624517
-0.368375,-0.01039189098952142,-0.01096326434272859
-0.36825,-0.01039189098952142,-0.01096326434272859
-0.368125,-0.01039189098952142,-0.01096326434272859
-0.368,-0.01039189098952142,-0.01096326434272859
-0.367875,-0.01039189098952142,-0.01096326434272859
-0.36775,-0.01039189098952142,-0.01096326434272859
-0.367625,-0.01039189098952142,-0.01096326434272859
-0.3675,-0.007060345628319592,-0.01096326434272859
-0.367375,-0.007060345628319592,-0.01096326434272859
-0.36725,-0.01039189098952142,-0.01096326434272859
-0.367125,-0.01039189098952142,-0.01096326434272859
-0.367,-0.01039189098952142,-0.01096326434272859
-0.366875,-0.01039189098952142,-0.01096326434272859
-0.36675,-0.01039189098952142,-0.01096326434272859
-0.366625,-0.01039189098952142,-0.01096326434272859
-0.3665,-0.01039189098952142,-0.01096326434272859
-0.366375,-0.01039189098952142,-0.01096326434272859
-0.36625,-0.01039189098952142,-0.01096326434272859
-0.366125,-0.01039189098952142,-0.01096326434272859
-0.366,-0.007060345628319592,-0.01096326434272859
-0.365875,-0.01039189098952142,-0.01096326434272859
-0.36575,-0.01039189098952142,-0.01096326434272859
-0.365625,-0.01039189098952142,-0.01096326434272859
-0.3655,-0.007060345628319592,-0.01096326434272859
-0.365375,-0.007060345628319592,-0.01096326434272859
-0.36525,-0.007060345628319592,-0.007625443479211999
-0.365125,-0.01039189098952142,-0.01096326434272859
-0.365,-0.01039189098952142,-0.01096326434272859
-0.364875,-0.007060345628319592,-0.01096326434272859
-0.36475,-0.007060345628319592,-0.007625443479211999
-0.364625,-0.007060345628319592,-0.007625443479211999
-0.3645,-0.007060345628319592,-0.01096326434272859
-0.364375,-0.007060345628319592,-0.007625443479211999
-0.36425,-0.007060345628319592,-0.007625443479211999
-0.364125,-0.007060345628319592,-0.01096326434272859
-0.364,-0.007060345628319592,-0.007625443479211999
-0.363875,-0.007060345628319592,-0.007625443479211999
-0.36375,-0.007060345628319592,-0.007625443479211999
-0.363625,-0.007060345628319592,-0.007625443479211999
-0.3635,-0.007060345628319592,-0.007625443479211999
-0.363375,-0.007060345628319592,-0.007625443479211999
